Techstack,Links
"React, Node.js, MongoDB, Express.js",https://github.com/sahil-dev/mern-ecommerce-platform
"Python, Pandas, NumPy, Matplotlib, Jupyter",https://github.com/sahil-dev/sales-data-analysis
"Python, Flask, SQLAlchemy, PostgreSQL, Bootstrap",https://github.com/sahil-dev/flask-blog-application
"Python, Django, REST API, JWT, PostgreSQL",https://github.com/sahil-dev/django-task-manager-api
"Python, Scikit-learn, Pandas, NumPy, Streamlit",https://github.com/sahil-dev/ml-house-price-predictor
"JavaScript, React, Redux, Tailwind CSS, Firebase",https://github.com/sahil-dev/react-todo-app-firebase
"Python, TensorFlow, Keras, OpenCV, NumPy",https://github.com/sahil-dev/image-classification-cnn
"Node.js, Express.js, MongoDB, JWT, Bcrypt",https://github.com/sahil-dev/nodejs-authentication-system
"Python, FastAPI, SQLAlchemy, Pydantic, PostgreSQL",https://github.com/sahil-dev/fastapi-blog-backend
"React, TypeScript, Material-UI, Axios, React Router",https://github.com/sahil-dev/typescript-dashboard-app
"Python, Selenium, BeautifulSoup, Pandas, SQLite",https://github.com/sahil-dev/web-scraping-automation
"Vue.js, Vuex, Vue Router, Axios, Bootstrap",https://github.com/sahil-dev/vuejs-weather-application
"Python, Django, Celery, Redis, Docker",https://github.com/sahil-dev/django-async-task-queue
"Angular, TypeScript, RxJS, Angular Material, Firebase",https://github.com/sahil-dev/angular-chat-application
"Python, PyTorch, Transformers, NumPy, Pandas",https://github.com/sahil-dev/sentiment-analysis-nlp
"Next.js, React, Prisma, PostgreSQL, Tailwind CSS",https://github.com/sahil-dev/nextjs-fullstack-blog
"Python, Scikit-learn, XGBoost, Pandas, Matplotlib",https://github.com/sahil-dev/customer-churn-prediction
"Node.js, Socket.io, Express.js, MongoDB, React",https://github.com/sahil-dev/realtime-chat-application
"Python, Streamlit, Plotly, Pandas, NumPy",https://github.com/sahil-dev/interactive-data-dashboard
"React Native, Expo, Firebase, AsyncStorage, React Navigation",https://github.com/sahil-dev/expense-tracker-mobile-app
"Python, Flask, Docker, Kubernetes, PostgreSQL",https://github.com/sahil-dev/microservices-flask-app
"JavaScript, Three.js, WebGL, GSAP, Webpack",https://github.com/sahil-dev/3d-portfolio-website
"Python, Scrapy, MongoDB, Pandas, BeautifulSoup",https://github.com/sahil-dev/ecommerce-price-tracker
"Express.js, GraphQL, Apollo Server, MongoDB, JWT",https://github.com/sahil-dev/graphql-social-media-api
"Python, OpenCV, Mediapipe, NumPy, Tkinter",https://github.com/sahil-dev/hand-gesture-recognition
"Java, Spring Boot, Hibernate, MySQL, Maven",https://github.com/sahil-dev/springboot-inventory-system
"Python, Pygame, NumPy, SQLite",https://github.com/sahil-dev/2d-platformer-game
"HTML, CSS, JavaScript, Bootstrap, jQuery",https://github.com/sahil-dev/responsive-landing-page
"Python, Beautiful Soup, Requests, CSV",https://github.com/sahil-dev/job-scraper-tool
"React, Context API, Chart.js, LocalStorage",https://github.com/sahil-dev/budget-tracker-app
"Python, NLTK, Scikit-learn, Flask",https://github.com/sahil-dev/text-classification-api
"Node.js, Passport.js, MongoDB, EJS",https://github.com/sahil-dev/user-auth-template
"Python, Matplotlib, Seaborn, Jupyter, Pandas",https://github.com/sahil-dev/covid-data-visualization
